,age_in_days,url_length,fqdn_length,n_of_subdomains,n_of_redirects,n_of_outgoing_hrefs
0,5150.0,78,43,1,,
1,1152.0,27,11,0,2.0,
2,,61,24,0,0.0,1.0
3,4.0,50,24,1,,
4,2086.0,79,15,0,0.0,0.0
5,4588.0,52,34,1,0.0,
6,0.0,35,27,3,1.0,
7,0.0,34,26,3,1.0,
8,0.0,35,27,3,1.0,
9,,36,28,3,1.0,
10,,36,21,0,1.0,
11,,211,71,6,1.0,
12,431.0,58,12,0,2.0,
13,2955.0,60,27,0,0.0,0.0
14,710.0,112,32,1,1.0,0.0
15,4588.0,41,31,1,0.0,0.0
16,936.0,53,21,0,0.0,0.0
17,,168,16,0,0.0,0.0
18,,28,11,0,,
19,5431.0,34,24,1,0.0,0.0
20,1152.0,23,7,0,1.0,
21,1.0,26,16,0,,
22,,41,32,1,,
23,,62,25,1,0.0,
24,2404.0,49,29,3,0.0,0.0
25,5843.0,73,25,1,0.0,
26,2507.0,71,14,0,0.0,0.0
27,2020.0,74,28,1,0.0,
28,2708.0,62,27,0,0.0,0.0
29,1.0,35,26,1,,
30,1.0,30,20,0,0.0,
31,1.0,37,23,0,0.0,10.0
32,7192.0,40,23,1,0.0,
33,1.0,25,15,0,0.0,0.0
34,1.0,24,15,0,1.0,0.0
35,1.0,32,22,0,,
36,0.0,48,28,0,2.0,16.0
37,1.0,29,20,0,2.0,16.0
38,0.0,52,43,0,,
39,1.0,47,28,0,,
40,1.0,36,28,0,,
